Run_ID,Livetime_sec,Gate_Event_Count,Gate_Event_Rate_Hz,Cathode_Event_Count,Cathode_Event_Rate_Hz,S1_Only_Heavy_Count,S1_Only_Heavy_Rate_Hz,S2_Only_SE_Count,S2_Only_SE_Rate_Hz,Wall_Event_Count,Wall_Event_Rate_Hz
054799,5132.356,3414,0.6651915806308059,2136,0.41618313304844795,579,0.11281368634599782,1185,0.23088811454232716,6038,1.176457751566727
056459,3600.731,2353,0.6534784186877609,2106,0.584881236615565,433,0.12025335966502357,2750,0.7637338084961081,4969,1.3799975616062403
057341,10801.82,7429,0.687754471005812,4729,0.43779659353701506,291,0.026939904571637002,325,0.030087522287910742,162,0.014997472648127817
057375,10803.526,7114,0.6584887193310777,4599,0.4256943520106306,302,0.02795383655299205,335,0.031008394851828932,161,0.014902542003416293
057534,1486.964,1063,0.7148794456355366,668,0.44923750675873797,19,0.012777713515592846,24,0.016140269703906755,31,0.02084784836754622
056943,10803.536,47835,4.427716999323184,16248,1.5039520394063572,2583,0.2390883873576207,3084,0.28546209315172366,2548,0.23584870731212448
057414,10801.043,7193,0.6659542046078328,4648,0.43032881176382687,295,0.027312177166594006,333,0.03083035592025696,149,0.013794964060415277
062984,1083.311,696,0.6424747833263025,442,0.4080084112503243,114,0.10523293864827368,229,0.2113889732496024,1301,1.200947834924597
059111,661.381,429,0.6486427641556077,253,0.3825329121943328,81,0.12247101141399587,152,0.22982214487564656,829,1.2534378822494145
057357,10803.275,7413,0.6861808109115061,4735,0.43829301762659933,263,0.0243444696168523,300,0.027769356977398057,167,0.015458275384084919
062627,1259.372,792,0.6288848727778606,557,0.4422839319915005,148,0.11751889036758002,271,0.21518661682171747,1539,1.2220376505115247
062267,1328.903,859,0.6463978183509256,514,0.3867851904917063,114,0.0857850422491333,241,0.18135258931615023,1606,1.2085155951939306
064054,1655.073,1081,0.6531433960918944,685,0.41387902527562226,175,0.10573551740618087,318,0.1921365402009458,1905,1.1510066323358545
064536,1407.04,940,0.6680691380486695,585,0.41576643165794863,154,0.10944962474414374,292,0.20752785990448033,1672,1.1883102115078463
057378,10801.117,7093,0.6566913403493361,4568,0.4229192221508201,311,0.0287933183206885,344,0.03184855788526316,158,0.014628116703115058
