number,quality_score,anomaly_votes,is_consensus_bad,start,mode
057520,35.57606234869449,5,True,2023-12-15 21:48:18.409,background_linked
056496,36.462923558664635,5,True,2023-11-27 15:11:52.727,background_linked
062468,37.15647033177308,4,True,2024-05-23 07:13:23.536,ambe_link_all
057517,37.22150513018205,5,True,2023-12-15 12:45:34.141,background_linked
056926,37.2746536589316,3,True,2023-12-05 11:23:12.646,tpc_radon_hev
057506,37.78780479226033,5,True,2023-12-14 20:34:16.702,background_linked
057511,38.160065744495384,5,True,2023-12-15 11:38:52.920,background_linked
056506,38.294436612851925,5,True,2023-11-28 01:00:24.323,background_linked
057518,38.688306082586934,5,True,2023-12-15 15:46:29.426,background_linked
062677,39.02805050868964,5,True,2024-05-30 12:10:48.627,background_linked
057519,39.46716408780413,5,True,2023-12-15 18:47:24.009,background_linked
060597,39.76821921734279,5,True,2024-03-09 17:41:33.108,background_linked
057507,40.353409047621774,5,True,2023-12-14 23:35:12.258,background_linked
062722,41.22502312370004,5,True,2024-05-31 13:45:50.435,background_linked
060598,41.322589157227995,4,True,2024-03-09 20:42:41.089,background_linked
057512,41.36145426742437,5,True,2023-12-15 11:50:55.790,background_tpc_nv
062735,41.37393701611739,5,True,2024-06-01 16:19:16.575,background_linked
060599,41.5131858791229,5,True,2024-03-09 23:43:37.169,background_linked
056505,41.56391806164435,3,True,2023-11-27 21:59:29.458,background_linked
062718,41.61038459662649,5,True,2024-05-31 12:17:23.877,ambe_link_all
066223,43.14275507310976,5,True,2024-09-12 19:23:28.518,tpc_radon_hev
062469,43.33644171547764,3,True,2024-05-23 07:49:53.135,ambe_link_all
056507,43.834462257871394,5,True,2023-11-28 04:01:19.679,background_linked
069625,44.50669082249534,5,True,2024-12-25 10:52:26.235,background_linked
066226,44.852843472215106,5,True,2024-09-12 19:54:25.867,tpc_radon_hev
062723,44.91264812539511,5,True,2024-05-31 16:46:45.014,background_linked
066227,45.01430466793982,5,True,2024-09-12 20:25:18.934,tpc_radon_hev
069626,45.04929394183457,5,True,2024-12-25 12:23:22.754,background_linked
062678,45.10202525891193,4,True,2024-05-30 15:11:42.995,background_linked
066222,45.258261678694076,5,True,2024-09-12 18:52:31.257,tpc_radon_hev
062734,46.17621110380014,5,True,2024-06-01 13:18:22.135,background_linked
066228,46.614375475138694,5,True,2024-09-12 20:56:12.067,tpc_radon_hev
062736,46.65688251773724,5,True,2024-06-01 19:20:10.999,background_linked
066231,46.84764648854441,5,True,2024-09-12 21:27:09.261,tpc_radon_hev
062462,46.88187421872502,3,True,2024-05-23 05:29:40.719,tpc_kr83m
057580,47.04994189806966,3,True,2023-12-20 14:54:17.083,background_tpc_nv
066221,47.14328248056516,5,True,2024-09-12 18:21:38.080,tpc_radon_hev
062719,47.55896957148822,4,True,2024-05-31 12:28:38.454,ambe_link_all
056491,48.00188674834083,3,True,2023-11-27 01:28:56.131,background_linked
056655,48.06562069254842,5,True,2023-12-02 15:29:37.312,tpc_radon_hev
062717,48.391862163324504,5,True,2024-05-31 09:43:58.393,background_linked
056654,48.651471581990684,5,True,2023-12-02 14:58:34.694,tpc_radon_hev
062724,48.77412302579444,5,True,2024-05-31 19:47:39.990,background_linked
062729,49.120726742963875,5,True,2024-06-01 10:52:11.858,background_linked
071303,49.36998765527975,5,True,2025-01-28 22:41:28.601,ambe_linked_hev
066218,49.37774559338014,5,True,2024-09-12 17:50:44.743,tpc_radon_hev
066216,49.95954624784126,5,True,2024-09-12 16:40:09.714,tpc_radon_hev
060600,50.4541189094587,4,True,2024-03-10 02:44:32.589,background_linked
066238,50.5191851335335,5,True,2024-09-13 00:01:40.451,tpc_radon_hev
062721,50.91982862714552,4,True,2024-05-31 13:05:07.021,ambe_link_all
056440,50.98417508002075,5,True,2023-11-25 03:36:24.230,background_linked
062731,51.02095712325115,4,True,2024-06-01 13:01:17.565,tpc_bkg
056650,51.32119687835723,5,True,2023-12-02 13:56:31.274,tpc_radon_hev
066236,51.374744449096355,4,True,2024-09-12 22:59:53.308,tpc_radon_hev
070139,51.3748900759231,5,True,2025-01-09 09:53:07.714,background_linked
057585,51.559067296279935,4,True,2023-12-20 15:34:27.794,background_linked
071305,51.807116880343585,4,True,2025-01-29 00:11:53.016,ambe_linked_hev
066237,51.977037569753634,3,True,2024-09-12 23:30:46.758,tpc_radon_hev
058721,52.00964965789349,4,True,2024-02-01 10:21:10.513,ambe_linked_hev
066241,52.507346227091226,5,True,2024-09-13 00:32:33.438,tpc_radon_hev
062679,52.54606998522452,3,True,2024-05-30 15:48:54.077,tpc_bkg
056656,52.576043761601,5,True,2023-12-02 16:00:40.609,tpc_radon_hev
063959,52.594024997658494,5,True,2024-07-10 15:11:45.142,tpc_kr83m
061337,52.65593039068754,5,True,2024-04-09 08:02:52.850,background_linked
063507,52.881692816158946,5,True,2024-06-28 02:03:51.328,background_linked
062644,52.95929456214056,5,True,2024-05-27 12:47:53.551,background_linked
069627,53.23280174435793,4,True,2024-12-25 13:54:19.161,background_linked
070140,53.27012646995904,5,True,2025-01-09 11:24:04.223,background_linked
058722,53.621551016694596,4,True,2024-02-01 10:36:33.246,ambe_linked_hev
060601,53.971482319716,3,True,2024-03-10 05:45:42.047,background_linked
063961,54.16712851610481,4,True,2024-07-10 15:42:38.431,tpc_kr83m
071307,54.24526681271326,3,True,2025-01-29 01:42:17.315,ambe_linked_hev
061338,54.2540885566036,4,True,2024-04-09 11:03:53.073,background_linked
057621,54.301166140483154,5,True,2023-12-21 15:01:56.378,ambe_link_all
056646,54.43705274389275,5,True,2023-12-02 13:25:25.889,tpc_radon_hev
071311,54.66020836237021,5,True,2025-01-29 04:43:05.190,ambe_linked_hev
060595,54.705858995897685,3,True,2024-03-09 12:42:33.221,background_linked
062737,54.70800010152982,4,True,2024-06-01 22:21:06.406,background_linked
063506,54.82406874481417,4,True,2024-06-28 00:32:58.449,background_linked
056441,54.85692716383079,4,True,2023-11-25 06:37:24.598,background_linked
073397,54.9605333798023,5,True,2025-02-24 16:40:07.360,background_linked
057622,55.28369172796749,5,True,2023-12-21 15:32:51.559,ambe_link_all
062684,55.39551685983063,4,True,2024-05-30 19:10:33.702,background_linked
058724,55.41547690204438,4,True,2024-02-01 10:53:18.380,ambe_linked_hev
065595,55.4278399717996,5,True,2024-08-30 06:33:55.500,tpc_kr83m
065594,55.48035091778867,4,True,2024-08-30 06:03:01.963,tpc_kr83m
071301,55.62454000089042,4,True,2025-01-28 21:11:04.646,ambe_linked_hev
062645,55.63087943558054,4,True,2024-05-27 15:48:48.829,background_linked
056839,55.63170304579829,4,True,2023-12-04 09:32:13.912,tpc_radon_hev
056877,55.9228591322511,5,True,2023-12-04 19:49:45.425,tpc_radon_hev
062725,55.94332760773339,4,True,2024-05-31 22:48:34.354,background_linked
056155,55.981625993765896,4,True,2023-11-20 13:22:52.474,ambe_linked_hev
056856,56.107689819491405,5,True,2023-12-04 12:31:24.736,tpc_radon_hev
062637,56.11620198390498,5,True,2024-05-27 03:51:05.077,background_linked
071539,56.17129823517364,4,True,2025-02-03 08:57:48.453,background_linked
058726,56.20127355641339,5,True,2024-02-01 11:16:32.020,ambe_linked_hev
056875,56.26258325044241,5,True,2023-12-04 18:47:45.999,tpc_radon_hev
062683,56.33821775778647,3,True,2024-05-30 16:09:38.855,background_linked
056644,56.343274925322916,5,True,2023-12-02 12:54:24.338,tpc_radon_hev
056852,56.36945585451322,4,True,2023-12-04 11:07:07.251,tpc_radon_hev
060400,56.39988695968054,3,True,2024-03-06 09:48:36.529,background_linked
073398,56.44902858884527,4,True,2025-02-24 18:10:59.783,background_linked
071309,56.55018281255477,3,True,2025-01-29 03:12:41.336,ambe_linked_hev
056844,56.58761313549314,4,True,2023-12-04 10:04:58.825,tpc_radon_hev
063504,56.59871151955109,4,True,2024-06-27 21:31:05.659,background_linked
065596,56.67081957591906,5,True,2024-08-30 07:04:52.666,tpc_kr83m
062728,56.69680079328323,3,True,2024-06-01 07:51:17.609,background_linked
065600,56.69782651044736,4,True,2024-08-30 08:06:40.261,tpc_kr83m
067311,56.75885259989845,4,True,2024-10-01 11:57:56.364,background_linked
062726,56.80540496447958,4,True,2024-06-01 01:49:28.333,background_linked
056876,56.86437716780192,5,True,2023-12-04 19:18:43.283,tpc_radon_hev
060095,56.91352453945685,3,True,2024-02-29 19:42:52.888,tpc_radon_hev
056520,57.09970721777597,3,True,2023-11-28 14:06:58.726,background_linked
071883,57.13957871944414,4,True,2025-02-06 13:46:02.099,ambe_linked_hev
062638,57.14568676911625,5,True,2024-05-27 06:51:48.862,background_linked
062618,57.20214363791988,3,True,2024-05-25 09:09:06.768,background_linked
071299,57.269088242297,4,True,2025-01-28 19:40:40.742,ambe_linked_hev
065599,57.29360807542348,5,True,2024-08-30 07:35:46.802,tpc_kr83m
066602,57.29989330783061,5,True,2024-09-18 00:37:05.569,tpc_radon_hev
063383,57.47214431250181,5,True,2024-06-21 21:28:57.924,background_linked
061333,57.47979602739239,3,True,2024-04-09 07:43:26.259,background_tpc_mv
073404,57.59303739918541,4,True,2025-02-25 00:38:14.873,tpc_bkg
066213,57.71763538580321,3,True,2024-09-12 15:36:48.646,tpc_radon_hev
062727,57.79498032354045,4,True,2024-06-01 04:50:22.827,background_linked
073399,57.83009051637831,3,True,2025-02-24 19:41:51.582,background_linked
056880,57.86057311292446,5,True,2023-12-04 20:20:42.133,tpc_radon_hev
066242,57.8832570615952,3,True,2024-09-13 01:03:27.148,tpc_radon_hev
060397,57.88848358647666,4,True,2024-03-06 09:23:16.577,background_tpc_mv
056176,57.899188250932,3,True,2023-11-21 03:25:05.595,background_linked
063951,57.91122827625797,4,True,2024-07-10 13:39:06.059,tpc_kr83m
062636,57.94667927822015,3,True,2024-05-27 00:50:10.092,background_linked
056881,58.015156747303095,4,True,2023-12-04 20:57:14.182,tpc_radon_hev
056573,58.19876389778167,3,True,2023-12-01 12:28:56.735,tpc_rn_8pmts
071279,58.3127569077724,4,True,2025-01-28 07:16:50.805,ambe_linked_hev
074113,58.369615052012215,3,True,2025-03-07 19:16:27.984,tpc_ar37
073401,58.498560014151906,3,True,2025-02-24 22:43:50.743,background_linked
056572,58.613218493466,3,True,2023-12-01 12:00:15.635,tpc_rn_8pmts
